DataYear,EnrollDistrictID,ResidentDistrictID,EnrollingDistrictNumber,EnrollingDistrictType,EnrollingDistrict,CountofOpenEnrolled,ResidentDistrictNumber,ResidentDistrictType,ResidentDistrict
12-13,0286-01-000,2905-01-000,0286,01,BROOKLYN CENTER SCHOOL DISTRICT    ,3.0,2905,01,TRI-CITY UNITED SCHOOL DISTRICT    
12-13,0294-01-000,0001-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,5.0,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      
12-13,0294-01-000,0001-03-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,89.0,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    
12-13,0294-01-000,0006-03-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,7.0,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. 
12-13,0294-01-000,0011-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,128.0,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. 
12-13,0294-01-000,0012-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,15.0,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  
12-13,0294-01-000,0013-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,11.0,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST
12-13,0294-01-000,0014-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,3.0,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     
12-13,0294-01-000,0015-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,29.0,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT 
12-13,0294-01-000,0016-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,13.0,0016,01,SPRING LAKE PARK PUBLIC SCHOOLS    
12-13,0294-01-000,0022-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,11.0,0022,01,DETROIT LAKES PUBLIC SCHOOL DIST.  
12-13,0294-01-000,0023-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,8.0,0023,01,FRAZEE-VERGAS PUBLIC SCHOOL DIST.  
12-13,0294-01-000,0031-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,18.0,0031,01,BEMIDJI PUBLIC SCHOOL DISTRICT     
12-13,0294-01-000,0038-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,5.0,0038,01,RED LAKE PUBLIC SCHOOL DISTRICT    
12-13,0294-01-000,0047-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,7.0,0047,01,SAUK RAPIDS-RICE PUBLIC SCHOOLS    
12-13,0294-01-000,0051-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,4.0,0051,01,FOLEY PUBLIC SCHOOL DISTRICT       
12-13,0294-01-000,0077-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,10.0,0077,01,MANKATO PUBLIC SCHOOL DISTRICT     
12-13,0294-01-000,0084-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,2.0,0084,01,SLEEPY EYE PUBLIC SCHOOL DISTRICT  
12-13,0294-01-000,0085-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,1.0,0085,01,SPRINGFIELD PUBLIC SCHOOL DISTRICT 
12-13,0294-01-000,0088-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,8.0,0088,01,NEW ULM PUBLIC SCHOOL DISTRICT     
12-13,0294-01-000,0093-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,4.0,0093,01,CARLTON PUBLIC SCHOOL DISTRICT     
12-13,0294-01-000,0094-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,15.0,0094,01,CLOQUET PUBLIC SCHOOL DISTRICT     
12-13,0294-01-000,0097-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,1.0,0097,01,MOOSE LAKE PUBLIC SCHOOL DISTRICT  
12-13,0294-01-000,0108-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,2.0,0108,01,CENTRAL PUBLIC SCHOOL DISTRICT     
12-13,0294-01-000,0110-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,10.0,0110,01,WACONIA PUBLIC SCHOOL DISTRICT     
12-13,0294-01-000,0111-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,4.0,0111,01,WATERTOWN-MAYER PUBLIC SCHOOL DIST.
12-13,0294-01-000,0112-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,8.0,0112,01,EASTERN CARVER COUNTY PUBLIC SCHOOL
12-13,0294-01-000,0113-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,3.0,0113,01,WALKER-HACKENSACK-AKELEY SCHL. DIST
12-13,0294-01-000,0115-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,1.0,0115,01,CASS LAKE-BENA PUBLIC SCHOOLS      
12-13,0294-01-000,0116-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,1.0,0116,01,PILLAGER PUBLIC SCHOOL DISTRICT    
12-13,0294-01-000,0129-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,2.0,0129,01,MONTEVIDEO PUBLIC SCHOOL DISTRICT  
12-13,0294-01-000,0138-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,15.0,0138,01,NORTH BRANCH PUBLIC SCHOOLS        
12-13,0294-01-000,0139-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,10.0,0139,01,RUSH CITY PUBLIC SCHOOL DISTRICT   
12-13,0294-01-000,0146-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,3.0,0146,01,BARNESVILLE PUBLIC SCHOOL DIST.    
12-13,0294-01-000,0152-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,8.0,0152,01,MOORHEAD PUBLIC SCHOOL DISTRICT    
12-13,0294-01-000,0162-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,3.0,0162,01,BAGLEY PUBLIC SCHOOL DISTRICT      
12-13,0294-01-000,0166-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,1.0,0166,01,COOK COUNTY PUBLIC SCHOOLS         
12-13,0294-01-000,0173-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,3.0,0173,01,MOUNTAIN LAKE PUBLIC SCHOOLS       
12-13,0294-01-000,0177-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,3.0,0177,01,WINDOM PUBLIC SCHOOL DISTRICT      
12-13,0294-01-000,0181-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,24.0,0181,01,BRAINERD PUBLIC SCHOOL DISTRICT    
12-13,0294-01-000,0182-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,4.0,0182,01,CROSBY-IRONTON PUBLIC SCHOOL DIST. 
12-13,0294-01-000,0186-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,6.0,0186,01,PEQUOT LAKES PUBLIC SCHOOLS        
12-13,0294-01-000,0191-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,33.0,0191,01,BURNSVILLE PUBLIC SCHOOL DISTRICT  
12-13,0294-01-000,0192-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,12.0,0192,01,FARMINGTON PUBLIC SCHOOL DISTRICT  
12-13,0294-01-000,0194-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,26.0,0194,01,LAKEVILLE PUBLIC SCHOOL DISTRICT   
12-13,0294-01-000,0196-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,71.0,0196,01,ROSEMOUNT-APPLE VALLEY-EAGAN       
12-13,0294-01-000,0197-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,12.0,0197,01,WEST ST. PAUL-MENDOTA HTS.-EAGAN   
12-13,0294-01-000,0199-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,7.0,0199,01,INVER GROVE HEIGHTS SCHOOLS        
12-13,0294-01-000,0200-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,18.0,0200,01,HASTINGS PUBLIC SCHOOL DISTRICT    
12-13,0294-01-000,0203-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,4.0,0203,01,HAYFIELD PUBLIC SCHOOL DISTRICT    
12-13,0294-01-000,0204-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,1.0,0204,01,KASSON-MANTORVILLE SCHOOL DISTRICT 
12-13,0294-01-000,0206-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,4.0,0206,01,ALEXANDRIA PUBLIC SCHOOL DISTRICT  
12-13,0294-01-000,0213-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,2.0,0213,01,OSAKIS PUBLIC SCHOOL DISTRICT      
12-13,0294-01-000,0227-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,14.0,0227,01,CHATFIELD PUBLIC SCHOOLS           
12-13,0294-01-000,0238-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,11.0,0238,01,MABEL-CANTON PUBLIC SCHOOL DIST.   
12-13,0294-01-000,0239-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,7.0,0239,01,RUSHFORD-PETERSON PUBLIC SCHOOLS   
12-13,0294-01-000,0241-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,12.0,0241,01,ALBERT LEA PUBLIC SCHOOL DISTRICT  
12-13,0294-01-000,0252-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,2.0,0252,01,CANNON FALLS PUBLIC SCHOOL DISTRICT
12-13,0294-01-000,0253-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,1.0,0253,01,GOODHUE PUBLIC SCHOOL DISTRICT     
12-13,0294-01-000,0255-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,7.0,0255,01,PINE ISLAND PUBLIC SCHOOL DIST.    
12-13,0294-01-000,0256-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,7.0,0256,01,RED WING PUBLIC SCHOOL DISTRICT    
12-13,0294-01-000,0264-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,3.0,0264,01,HERMAN-NORCROSS SCHOOL DISTRICT    
12-13,0294-01-000,0270-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,7.0,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT     
12-13,0294-01-000,0271-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,16.0,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT 
12-13,0294-01-000,0272-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,7.0,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT
12-13,0294-01-000,0273-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,2.0,0273,01,EDINA PUBLIC SCHOOL DISTRICT       
12-13,0294-01-000,0276-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,15.0,0276,01,MINNETONKA PUBLIC SCHOOL DISTRICT  
12-13,0294-01-000,0277-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,3.0,0277,01,WESTONKA PUBLIC SCHOOL DISTRICT    
12-13,0294-01-000,0278-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,3.0,0278,01,ORONO PUBLIC SCHOOL DISTRICT       
12-13,0294-01-000,0279-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,57.0,0279,01,OSSEO PUBLIC SCHOOL DISTRICT       
12-13,0294-01-000,0280-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,11.0,0280,01,RICHFIELD PUBLIC SCHOOL DISTRICT   
12-13,0294-01-000,0281-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,50.0,0281,01,ROBBINSDALE PUBLIC SCHOOL DISTRICT 
12-13,0294-01-000,0282-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,3.0,0282,01,ST. ANTHONY-NEW BRIGHTON SCHOOLS   
12-13,0294-01-000,0283-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,4.0,0283,01,ST. LOUIS PARK PUBLIC SCHOOL DIST. 
12-13,0294-01-000,0284-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,11.0,0284,01,WAYZATA PUBLIC SCHOOL DISTRICT     
12-13,0294-01-000,0286-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,6.0,0286,01,BROOKLYN CENTER SCHOOL DISTRICT    
12-13,0294-01-000,0297-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,1.0,0297,01,SPRING GROVE SCHOOL DISTRICT       
12-13,0294-01-000,0299-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,8.0,0299,01,CALEDONIA PUBLIC SCHOOL DISTRICT   
12-13,0294-01-000,0300-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,10.0,0300,01,LA CRESCENT-HOKAH SCHOOL DISTRICT  
12-13,0294-01-000,0306-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,2.0,0306,01,LAPORTE PUBLIC SCHOOL DISTRICT     
12-13,0294-01-000,0309-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,15.0,0309,01,PARK RAPIDS PUBLIC SCHOOL DISTRICT 
12-13,0294-01-000,0314-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,4.0,0314,01,BRAHAM PUBLIC SCHOOL DISTRICT      
12-13,0294-01-000,0316-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,3.0,0316,01,GREENWAY PUBLIC SCHOOL DISTRICT    
12-13,0294-01-000,0317-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,3.0,0317,01,DEER RIVER PUBLIC SCHOOL DISTRICT  
12-13,0294-01-000,0318-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,11.0,0318,01,GRAND RAPIDS PUBLIC SCHOOL DISTRICT
12-13,0294-01-000,0319-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,5.0,0319,01,NASHWAUK-KEEWATIN SCHOOL DISTRICT  
12-13,0294-01-000,0332-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,10.0,0332,01,MORA PUBLIC SCHOOL DISTRICT        
12-13,0294-01-000,0333-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,3.0,0333,01,OGILVIE PUBLIC SCHOOL DISTRICT     
12-13,0294-01-000,0345-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,4.0,0345,01,NEW LONDON-SPICER SCHOOL DISTRICT  
12-13,0294-01-000,0347-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,21.0,0347,01,WILLMAR PUBLIC SCHOOL DISTRICT     
12-13,0294-01-000,0361-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,7.0,0361,01,INTERNATIONAL FALLS SCHOOL DISTRICT
12-13,0294-01-000,0362-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,1.0,0362,01,LITTLEFORK-BIG FALLS SCHOOL DIST.  
12-13,0294-01-000,0381-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,3.0,0381,01,LAKE SUPERIOR PUBLIC SCHOOL DIST.  
12-13,0294-01-000,0390-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,6.0,0390,01,LAKE OF THE WOODS SCHOOL DISTRICT  
12-13,0294-01-000,0413-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,5.0,0413,01,MARSHALL PUBLIC SCHOOL DISTRICT    
12-13,0294-01-000,0423-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,7.0,0423,01,HUTCHINSON PUBLIC SCHOOL DISTRICT  
12-13,0294-01-000,0435-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,1.0,0435,01,WAUBUN-OGEMA-WHITE EARTH PUBLIC SCH
12-13,0294-01-000,0441-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,1.0,0441,01,MARSHALL COUNTY CENTRAL SCHOOLS    
12-13,0294-01-000,0465-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,9.0,0465,01,LITCHFIELD PUBLIC SCHOOL DISTRICT  
12-13,0294-01-000,0466-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,5.0,0466,01,DASSEL-COKATO PUBLIC SCHOOL DIST.  
12-13,0294-01-000,0473-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,1.0,0473,01,ISLE PUBLIC SCHOOL DISTRICT        
12-13,0294-01-000,0477-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,11.0,0477,01,PRINCETON PUBLIC SCHOOL DISTRICT   
12-13,0294-01-000,0480-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,7.0,0480,01,ONAMIA PUBLIC SCHOOL DISTRICT      
12-13,0294-01-000,0482-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,6.0,0482,01,LITTLE FALLS PUBLIC SCHOOL DISTRICT
12-13,0294-01-000,0484-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,8.0,0484,01,PIERZ PUBLIC SCHOOL DISTRICT       
12-13,0294-01-000,0492-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,18.0,0492,01,AUSTIN PUBLIC SCHOOL DISTRICT      
12-13,0294-01-000,0495-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,1.0,0495,01,GRAND MEADOW PUBLIC SCHOOL DISTRICT
12-13,0294-01-000,0497-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,3.0,0497,01,LYLE PUBLIC SCHOOL DISTRICT        
12-13,0294-01-000,0500-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,2.0,0500,01,SOUTHLAND PUBLIC SCHOOL DISTRICT   
12-13,0294-01-000,0508-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,3.0,0508,01,ST. PETER PUBLIC SCHOOL DISTRICT   
12-13,0294-01-000,0518-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,3.0,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT 
12-13,0294-01-000,0531-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,4.0,0531,01,BYRON PUBLIC SCHOOL DISTRICT       
12-13,0294-01-000,0533-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,1.0,0533,01,DOVER-EYOTA PUBLIC SCHOOL DISTRICT 
12-13,0294-01-000,0534-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,8.0,0534,01,STEWARTVILLE PUBLIC SCHOOL DISTRICT
12-13,0294-01-000,0535-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,62.0,0535,01,ROCHESTER PUBLIC SCHOOL DISTRICT   
12-13,0294-01-000,0544-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,7.0,0544,01,FERGUS FALLS PUBLIC SCHOOL DISTRICT
12-13,0294-01-000,0547-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,1.0,0547,01,PARKERS PRAIRIE PUBLIC SCHOOL DIST.
12-13,0294-01-000,0548-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,3.0,0548,01,PELICAN RAPIDS PUBLIC SCHOOL DIST. 
12-13,0294-01-000,0549-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,3.0,0549,01,PERHAM-DENT PUBLIC SCHOOL DISTRICT 
12-13,0294-01-000,0550-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,2.0,0550,01,UNDERWOOD PUBLIC SCHOOL DISTRICT   
12-13,0294-01-000,0553-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,2.0,0553,01,NEW YORK MILLS PUBLIC SCHOOL DIST. 
12-13,0294-01-000,0564-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,11.0,0564,01,THIEF RIVER FALLS SCHOOL DISTRICT  
12-13,0294-01-000,0577-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,5.0,0577,01,WILLOW RIVER PUBLIC SCHOOL DISTRICT
12-13,0294-01-000,0578-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,7.0,0578,01,PINE CITY PUBLIC SCHOOL DISTRICT   
12-13,0294-01-000,0581-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,1.0,0581,01,EDGERTON PUBLIC SCHOOL DISTRICT    
12-13,0294-01-000,0593-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,1.0,0593,01,CROOKSTON PUBLIC SCHOOL DISTRICT   
12-13,0294-01-000,0595-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,1.0,0595,01,EAST GRAND FORKS PUBLIC SCHOOL DIST
12-13,0294-01-000,0601-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,3.0,0601,01,FOSSTON PUBLIC SCHOOL DISTRICT     
12-13,0294-01-000,0611-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,2.0,0611,01,CYRUS PUBLIC SCHOOL DISTRICT       
12-13,0294-01-000,0621-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,14.0,0621,01,MOUNDS VIEW PUBLIC SCHOOL DISTRICT 
12-13,0294-01-000,0622-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,21.0,0622,01,NORTH ST PAUL-MAPLEWOOD SCHOOL DIST
12-13,0294-01-000,0623-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,7.0,0623,01,ROSEVILLE PUBLIC SCHOOL DISTRICT   
12-13,0294-01-000,0624-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,18.0,0624,01,WHITE BEAR LAKE SCHOOL DISTRICT    
12-13,0294-01-000,0625-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,74.0,0625,01,ST. PAUL PUBLIC SCHOOL DISTRICT    
12-13,0294-01-000,0656-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,7.0,0656,01,FARIBAULT PUBLIC SCHOOL DISTRICT   
12-13,0294-01-000,0659-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,6.0,0659,01,NORTHFIELD PUBLIC SCHOOL DISTRICT  
12-13,0294-01-000,0671-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,2.0,0671,01,HILLS-BEAVER CREEK SCHOOL DISTRICT 
12-13,0294-01-000,0682-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,2.0,0682,01,ROSEAU PUBLIC SCHOOL DISTRICT      
12-13,0294-01-000,0690-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,11.0,0690,01,WARROAD PUBLIC SCHOOL DISTRICT     
12-13,0294-01-000,0695-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,2.0,0695,01,CHISHOLM PUBLIC SCHOOL DISTRICT    
12-13,0294-01-000,0696-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,3.0,0696,01,ELY PUBLIC SCHOOL DISTRICT         
12-13,0294-01-000,0698-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,4.0,0698,01,FLOODWOOD PUBLIC SCHOOL DISTRICT   
12-13,0294-01-000,0700-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,8.0,0700,01,HERMANTOWN PUBLIC SCHOOL DISTRICT  
12-13,0294-01-000,0701-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,11.0,0701,01,HIBBING PUBLIC SCHOOL DISTRICT     
12-13,0294-01-000,0704-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,9.0,0704,01,PROCTOR PUBLIC SCHOOL DISTRICT     
12-13,0294-01-000,0706-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,2.0,0706,01,VIRGINIA PUBLIC SCHOOL DISTRICT    
12-13,0294-01-000,0709-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,41.0,0709,01,DULUTH PUBLIC SCHOOL DISTRICT      
12-13,0294-01-000,0712-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,2.0,0712,01,MOUNTAIN IRON-BUHL SCHOOL DISTRICT 
12-13,0294-01-000,0716-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,4.0,0716,01,BELLE PLAINE PUBLIC SCHOOL DISTRICT
12-13,0294-01-000,0717-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,2.0,0717,01,JORDAN PUBLIC SCHOOL DISTRICT      
12-13,0294-01-000,0719-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,12.0,0719,01,PRIOR LAKE-SAVAGE AREA SCHOOLS     
12-13,0294-01-000,0720-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,25.0,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT    
12-13,0294-01-000,0721-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,14.0,0721,01,NEW PRAGUE AREA SCHOOLS            
12-13,0294-01-000,0726-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,11.0,0726,01,BECKER PUBLIC SCHOOL DISTRICT      
12-13,0294-01-000,0727-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,16.0,0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT    
12-13,0294-01-000,0728-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,17.0,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT   
12-13,0294-01-000,0740-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,1.0,0740,01,MELROSE PUBLIC SCHOOL DISTRICT     
12-13,0294-01-000,0741-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,1.0,0741,01,PAYNESVILLE PUBLIC SCHOOL DISTRICT 
12-13,0294-01-000,0742-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,42.0,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT   
12-13,0294-01-000,0743-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,2.0,0743,01,SAUK CENTRE PUBLIC SCHOOL DISTRICT 
12-13,0294-01-000,0745-01-000,0294,01,HOUSTON PUBLIC SCHOOL DISTRICT     ,4.0,0745,01,ALBANY PUBLIC SCHOOL DISTRICT      
